sgRNA	Gene	PO1f_1	PO1f_2	PO1f_3	PO1f_Cas9_ku70_1	PO1f_Cas9_ku70_2	PO1f_Cas9_ku70_3
32285	YALI1_A13046g	25	38	136	0	0	18
37514	YALI1_B20802g	54	98	157	358	623	469
5500	YALI1_E19826g	82	148	220	14	50	26
22672	YALI1_F11916g	305	148	457	0	0	0
9384	YALI1_B13411g	117	115	178	8	14	15
10985	YALI1_C26959g	207	249	336	0	0	0
1933	YALI1_B23879g	139	186	234	17	136	38
9965	YALI1_B29080g	144	138	226	0	0	33
32111	YALI1_A08299g	107	310	130	0	0	0
10637	YALI1_C17314g	74	169	175	0	0	0
32757	YALI1_B01889g	154	96	250	5	5	23
2391	YALI1_C06222g	259	105	243	16	20	8
24409	YALI1_A12437g	162	322	177	1	1	2
24092	YALI1_A04415g	29	28	104	269	23	17
43340	YALI1_F31947g	141	381	358	259	664	405
39495	YALI1_D11151g	149	505	478	113	158	103
29349	YALI1_E20943g	38	69	119	0	0	0
26460	YALI1_C14125g	40	70	179	0	0	0
33101	YALI1_B10933g	86	242	384	0	0	0
35003	YALI1_C33245g	134	188	384	0	0	10
41648	YALI1_E30373g	349	533	1042	206	367	304
43549	YALI1_F36936g	243	178	379	38	170	127
26380	YALI1_C11883g	89	131	158	1	2	1
518	YALI1_A09893g	235	562	359	1	0	1
42647	YALI1_F14342g	339	525	418	1	2	0
18197	YALI1_E38744g	156	349	991	16	64	19
14873	YALI1_C22751g	185	185	410	0	0	1
30664	YALI1_F12434g	131	284	480	0	0	0
21465	YALI1_E23068g	108	15	52	0	0	0
5643	YALI1_E23265g	231	132	238	0	0	0
21319	YALI1_E19696g	60	91	260	0	0	0
36189	YALI1_A09064g	231	245	587	92	86	59
26961	YALI1_C28456g	203	79	241	0	0	11
43648	YALI1_F39159g	11	150	260	0	0	0
19888	YALI1_D17725g	137	178	522	0	1	1
6256	YALI1_E37930g	51	76	240	0	0	0
10874	YALI1_C24081g	66	164	85	0	0	0
36020	YALI1_A05052g	143	282	427	4	3	11
44475	YALI1_E03039g	84	291	518	0	15	5
4794	YALI1_E01877g	193	154	490	27	1	1
45690	YALI1_E33234g	76	34	11	40	536	156
44366	YALI1_E00358g	43	178	114	0	0	2
44257	YALI1_D33640g	149	123	468	223	249	185
46154	YALI1_F03527g	98	170	340	1	0	1
23115	YALI1_F22935g	475	684	1344	1	0	1
33798	YALI1_B29867g	106	6	86	0	0	2
16653	YALI1_E00760g	216	394	672	1	0	0
4124	YALI1_D19365g	152	93	246	155	296	203
20431	YALI1_D32958g	129	230	216	241	338	219
10578	YALI1_C15776g	142	231	395	1	0	3
5729	YALI1_E25163g	144	315	696	48	38	17
41942	YALI1_E37484g	224	322	323	14	33	34
36858	YALI1_B03288g	155	209	387	0	0	0
30907	YALI1_F17706g	97	181	187	0	1	0
34630	YALI1_C22835g	91	75	121	0	0	2
39643	YALI1_D14628g	120	254	544	0	27	14
27352	YALI1_D04997g	122	146	193	0	0	0
42706	YALI1_F15695g	129	196	251	13	44	34
29154	YALI1_E16255g	151	183	185	0	0	0
7297	YALI1_F23157g	171	452	437	0	0	0
35996	YALI1_A04533g	173	169	379	77	240	297
17627	YALI1_E25107g	209	82	313	0	0	0
46536	YALI1_F13339g	42	62	70	0	0	0
25256	YALI1_B11183g	144	210	221	0	0	2
27294	YALI1_D03245g	51	83	286	9	11	18
23703	YALI1_F37658g	37	0	14	0	0	0
47077	YALI1_F26957g	238	225	217	1	0	0
32759	YALI1_B01903g	92	87	368	0	1	9
29547	YALI1_E25549g	121	226	195	33	49	65
18008	YALI1_E34367g	16	8	52	0	0	0
22032	YALI1_E36641g	127	165	129	0	0	0
17748	YALI1_E27871g	13	21	48	0	0	0
17785	YALI1_E28736g	29	53	78	0	0	0
41320	YALI1_E22576g	57	163	343	0	0	7
39558	YALI1_D12626g	116	194	455	0	0	1
45982	YALI1_E40282g	227	180	237	0	0	0
8232	YALI1_A06434g	427	870	698	4	0	0
3718	YALI1_D09322g	14	20	166	0	0	0
3291	YALI1_C31848g	80	25	67	0	0	0
7383	YALI1_F25254g	61	243	85	384	610	378
26488	YALI1_C14910g	87	108	128	0	7	2
1045	YALI1_B00578g	171	521	390	1	2	0
28005	YALI1_D21631g	239	398	897	0	0	2
38819	YALI1_C26580g	281	677	763	8	30	21
18094	YALI1_E36395g	180	251	586	18	56	62
33739	YALI1_B28150g	50	352	278	32	119	98
28694	YALI1_E04201g	71	82	222	4	13	18
6266	YALI1_E38113g	159	258	410	0	21	6
12304	YALI1_A06989g	246	143	296	8	7	18
4875	YALI1_E03789g	91	70	229	36	28	48
2649	YALI1_C13890g	124	351	495	351	484	287
20457	YALI1_D33696g	87	158	443	0	0	5
26541	YALI1_C16204g	117	81	73	79	11	48
46697	YALI1_F16851g	220	352	1010	0	0	1
8448	YALI1_A12085g	116	163	166	0	0	0
9022	YALI1_B03719g	188	136	813	17	88	77
18255	YALI1_E40324g	114	133	334	2	0	0
5048	YALI1_E08176g	323	283	634	0	0	0
5465	YALI1_E19082g	188	363	312	0	0	0
3651	YALI1_D07775g	204	269	536	5	17	21
41299	YALI1_E22041g	71	221	318	2	0	0
11707	YALI1_D12567g	229	362	418	1	0	0
34382	YALI1_C15832g	49	45	263	6	175	46
34695	YALI1_C24567g	64	180	157	0	0	0
25445	YALI1_B16318g	376	172	554	0	0	7
28822	YALI1_E07429g	36	116	51	0	0	0
32675	YALI1_A22440g	59	34	135	141	152	150
47474	YALI1_F36882g	199	119	542	30	127	82
2966	YALI1_C22311g	97	98	93	0	0	0
30036	YALI1_E37387g	19	0	0	14	85	20
